record-type,attack-v18-attack-id,attack-v19-attack-id,attack-v18-stix-id,attack-v19-stix-id,attack-v18-name,attack-v19-name,attack-v19-parent-attack-id,attack-v18-tactics,attack-v19-tactics,explanation,technique-change-type,tactic-change-type
Existing Technique,T1211,T1211,attack-pattern--fe926152-f431-4baf-956c-4ad3cb0bf23b,attack-pattern--fe926152-f431-4baf-956c-4ad3cb0bf23b,Exploitation for Defense Evasion,Exploitation for Stealth,,defense-evasion,stealth,,Remains technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1222,T1222,attack-pattern--65917ae0-b854-4139-83fe-bf2441cf0196,attack-pattern--65917ae0-b854-4139-83fe-bf2441cf0196,File and Directory Permissions Modification,File and Directory Permissions Modification,,defense-evasion,defense-impairment,,Remains technique,Moved to new tactic Defense Impairment
Existing Technique,T1222.002,T1222.002,attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,File and Directory Permissions Modification: Linux and Mac File and Directory Permissions Modification,File and Directory Permissions Modification: Linux and Mac Permissions,T1222,defense-evasion,defense-impairment,,Remains sub-technique,Moved to new tactic Defense Impairment
Existing Technique,T1222.001,T1222.001,attack-pattern--34e793de-0274-4982-9c1a-246ed1c19dee,attack-pattern--34e793de-0274-4982-9c1a-246ed1c19dee,File and Directory Permissions Modification: Windows File and Directory Permissions Modification,File and Directory Permissions Modification: Windows Permissions,T1222,defense-evasion,defense-impairment,,Remains sub-technique,Moved to new tactic Defense Impairment
Existing Technique,T1564,T1564,attack-pattern--22905430-4901-4c2a-84f6-98243cb173f8,attack-pattern--22905430-4901-4c2a-84f6-98243cb173f8,Hide Artifacts,Hide Artifacts,,defense-evasion,stealth,,Remains technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.013,T1564.013,attack-pattern--5bd41255-a224-4425-a2e2-e9d293eafe1c,attack-pattern--5bd41255-a224-4425-a2e2-e9d293eafe1c,Hide Artifacts: Bind Mounts,Hide Artifacts: Bind Mounts,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.008,T1564.008,attack-pattern--0cf55441-b176-4332-89e7-2c4c7799d0ff,attack-pattern--0cf55441-b176-4332-89e7-2c4c7799d0ff,Hide Artifacts: Email Hiding Rules,Hide Artifacts: Email Hiding Rules,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.014,T1564.014,attack-pattern--762e6f29-a62f-4d96-91ed-d0073181431f,attack-pattern--762e6f29-a62f-4d96-91ed-d0073181431f,Hide Artifacts: Extended Attributes,Hide Artifacts: Extended Attributes,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.012,T1564.012,attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,Hide Artifacts: File/Path Exclusions,Hide Artifacts: File/Path Exclusions,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.005,T1564.005,attack-pattern--dfebc3b7-d19d-450b-81c7-6dafe4184c04,attack-pattern--dfebc3b7-d19d-450b-81c7-6dafe4184c04,Hide Artifacts: Hidden File System,Hide Artifacts: Hidden File System,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.001,T1564.001,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,Hide Artifacts: Hidden Files and Directories,Hide Artifacts: Hidden Files and Directories,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.002,T1564.002,attack-pattern--8c4aef43-48d5-49aa-b2af-c0cd58d30c3d,attack-pattern--8c4aef43-48d5-49aa-b2af-c0cd58d30c3d,Hide Artifacts: Hidden Users,Hide Artifacts: Hidden Users,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.003,T1564.003,attack-pattern--cbb66055-0325-4111-aca0-40547b6ad5b0,attack-pattern--cbb66055-0325-4111-aca0-40547b6ad5b0,Hide Artifacts: Hidden Window,Hide Artifacts: Hidden Window,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.011,T1564.011,attack-pattern--4a2975db-414e-4c0c-bd92-775987514b4b,attack-pattern--4a2975db-414e-4c0c-bd92-775987514b4b,Hide Artifacts: Ignore Process Interrupts,Hide Artifacts: Ignore Process Interrupts,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.004,T1564.004,attack-pattern--f2857333-11d4-45bf-b064-2c28d8525be5,attack-pattern--f2857333-11d4-45bf-b064-2c28d8525be5,Hide Artifacts: NTFS File Attributes,Hide Artifacts: NTFS File Attributes,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.010,T1564.010,attack-pattern--ffe59ad3-ad9b-4b9f-b74f-5beb3c309dc1,attack-pattern--ffe59ad3-ad9b-4b9f-b74f-5beb3c309dc1,Hide Artifacts: Process Argument Spoofing,Hide Artifacts: Process Argument Spoofing,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.009,T1564.009,attack-pattern--b22e5153-ac28-4cc6-865c-2054e36285cb,attack-pattern--b22e5153-ac28-4cc6-865c-2054e36285cb,Hide Artifacts: Resource Forking,Hide Artifacts: Resource Forking,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.006,T1564.006,attack-pattern--b5327dd1-6bf9-4785-a199-25bcbd1f4a9d,attack-pattern--b5327dd1-6bf9-4785-a199-25bcbd1f4a9d,Hide Artifacts: Run Virtual Instance,Hide Artifacts: Run Virtual Instance,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1564.007,T1564.007,attack-pattern--c898c4b5-bf36-4e6e-a4ad-5b8c4c13e35b,attack-pattern--c898c4b5-bf36-4e6e-a4ad-5b8c4c13e35b,Hide Artifacts: VBA Stomping,Hide Artifacts: VBA Stomping,T1564,defense-evasion,stealth,,Remains sub-technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1574,T1574,attack-pattern--aedfca76-3b30-4866-b2aa-0f1d7fd1e4b6,attack-pattern--aedfca76-3b30-4866-b2aa-0f1d7fd1e4b6,Hijack Execution Flow,Hijack Execution Flow,,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.014,T1574.014,attack-pattern--356662f7-e315-4759-86c9-6214e2a50ff8,attack-pattern--356662f7-e315-4759-86c9-6214e2a50ff8,Hijack Execution Flow: AppDomainManager,Hijack Execution Flow: AppDomainManager,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
